name;latitude;longitude;type;url;image;text;icon
Keble Park North;53.91646268;-1.099061295;Access;;;Access Point Chicane;Access.svg 
Sim Balk Lane;53.92746954;-1.109520941;Access;;;Access Point Chicane;Access.svg 
Start of Off road path to York;53.838090;-1.055638;Access;;;;Access.svg 
Access from Naburn Lane;53.908463;-1.087454;Access;;;;Access.svg 
Access from Howden Lane;53.908463;-1.087454;Access;;;;Access.svg 
Access from Acaster Lane;53.912684;-1.093530;Access;;;;Access.svg 
Access to Brunswick Organic Nursery when open;53.9187568177274;-1.102542610354968;Access;;;;Access.svg 
Access f rom Copmanthorpe Lane;53.920381;-1.105434;Access;;;;Access.svg 
Access from Appleton Court;53.919171;-1.103658;Access;;;;Access.svg 
Vicarage Lane;53.902569;-1.082134;Access;;;;Access.svg 
Moor Lane;53.893808;-1.076469;Access;;;;Access.svg 
Bishopthopre Road;53.939515;-1.087780;Access;;;;Access.svg 
Millennium Bridge;53.945489;-1.083274;Access;;;;Access.svg 
Naburn Grange;53.89214082;-1.092711982;Activity;http://www.adveb.co.uk/naburn/;;;Activity.svg 
Canoe Club;53.92155429;-1.088664852;Activity;http://lowerwharfe.org.uk/;;;canoe.png 
Bishopthorpe Bowling Club;53.91873786;-1.09221164;Activity;http://www.bishopthorpe-bc.co.uk/community/bishopthorpe-bowling-club-10044/home/;;;Activity.svg 
Wall Of Sound;53.92269127;-1.100646192;Activity;https://wallofsound.co.uk/bishopthorpe/;;;Activity.svg 
Bishopthorpe Tennis Club;53.91873786;-1.09221164;Activity;http://www.bishtennis.btck.co.uk/;;;Activity.svg 
York Railway Institute Sailing Club;53.9115511;-1.091896655;Activity;https://yrisc.org/;;;Activity.svg 
Twisted Cogs;53.92236495;-1.094869003;Bike_repair;http://www.twistedcogs.co.uk/;;;Bike_repair.svg 
Cycle Heaven;53.94599721;-1.078546759;Bike_repair;https://www.cycle-heaven.co.uk/;;;Bike_repair.svg 
Get Cycling;53.94491743;-1.077355859;Bike_repair;https://www.getcycling.org.uk/;;;Bike_repair.svg 
Dairymans;53.833610;-1.062267;Cafe;;;;Cafe.svg 
Fred home bakery;53.92151495;-1.100138988;Cafe;https://fredshomebakery.com/;;;Cafe.svg 
Bishopthorpe Sports & Social Club;53.92100523;-1.098087721;Cafe;https://bishopthorpeclub.co.uk/;;;Cafe.svg 
Middlethorpe Hall Spa & Restaurant;53.93070406;-1.089956916;Cafe;https://www.middlethorpe.com/;;;Cafe.svg 
York Marina;53.90610677;-1.089222821;Cafe;https://www.yorkmarina.co.uk/waterfront-cafe/;;;Cafe.svg 
But First;53.92215821;-1.094774163;Cafe;https://www.facebook.com/ButFirstCafe/;;;Cafe.svg 
Brunswick Organic Nursery;53.91849201;-1.103496707;Cafe;https://www.brunswickyork.org.uk/;;;Cafe.svg 
Community Garden;53.840357;-1.056239;Cafe;;;;Cafe.svg 
Trust Hut;53.907796;-1.086857;Cafe;;;;Cafe.svg 
Naburn Lock Campsite;53.89437358;-1.093748071;Camping;https://www.yorknaburnlock.com/;;;Camping.svg 
Manor Farm Caravan Park;53.93577777;-1.086955439;Camping;http://www.manorfarmcaravanparkyork.co.uk/;;;Camping.svg 
St Andrews;53.92238827;-1.091229044;Heritage;http://standrewstrust.co.uk/;;;Heritage.svg 
Bishopthorpe Palace;53.92327278;-1.092130266;Heritage;https://www.archbishopofyork.org/archbishop-york/about-bishopthorpe-palace;;https://historicengland.org.uk/listing/the-list/list-entry/1132487;Heritage.svg 
Bishopthorpe Methodist Church Hall;53.92064644;-1.106789892;Heritage;https://www.yorkmethodist.org.uk/churches/circuit-churches/bishopthorpe.html;;;Heritage.svg 
Listed Buildings in Bishopthorpe;53.9216362;-1.100105888;Heritage;https://britishlistedbuildings.co.uk/england/bishopthorpe-york#.X70oL7PgqUl;;;Heritage.svg 
Challoners Whin;53.929003;-1.116873;Info_board;http://railwaytogreenway.org/challoners-whin/;;The northern-most end of the Solar System Greenway near where the 1860s diversion re-joined the original line to Edinburgh via West Yorkshire;Info_board.svg
The Solar System - York end;53.925369;-1.112563;Info_board;http://railwaytogreenway.org/about/;css\/Images\/about.jpg;Located where the cycle path form  York across the Knavesmire race-course joins the Solar System Greenway. Leaflets are available in a distribution box attached to the side of the board;Info_board.svg
